structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset,dd_guardrail_pass
2,18,18.0,60.0,22.0,6.8,2.6,1.0,0.2,5,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,32,0.75,1885.8389981488726,3.2331055924940895,0.02750202026293566,10.034544122348246,ETHUSDT_15m,1
2,36,20.0,66.0,14.0,7.2,2.4,1.4,0.1,3,1.6,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,29,0.6206896551724138,1883.7864497426235,2.263031833402075,0.04454263866788179,7.78725668330175,ETHUSDT_15m,1
2,21,16.0,64.0,22.0,7.0,2.4,1.4,0.2,5,1.6,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,30,0.6333333333333333,1872.7635287301982,2.311021315025201,0.033395947412857084,7.944618316542028,ETHUSDT_15m,1
2,21,16.0,64.0,22.0,7.0,2.4,1.4,0.2,5,1.6,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,28,0.5357142857142857,1844.2262712201245,1.707764632553155,0.08819607697942843,6.358738733959578,ETHUSDT_4h,1
2,36,20.0,66.0,14.0,7.2,2.4,1.4,0.1,3,1.6,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,30,0.5333333333333333,1838.147353011429,1.7225160585540988,0.10767210545798735,6.360163153745664,SOLUSDT_4h,1
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,20,0.7,1798.2619995549812,2.447724055379552,0.039600000000000066,8.024910110314085,ETHUSDT_15m,1
2,30,18.0,58.0,16.0,8.0,2.4,1.0,0.15,5,1.4,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,23,0.5652173913043478,1791.3861516261386,1.8456549416963073,0.13376149669512433,6.389237631889902,BTCUSDT_1h,1
5,27,30.0,64.0,18.0,6.8,2.0,1.2,0.1,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.631578947368421,1791.1358944276308,1.5012007249565524,0.2049849989580437,5.505950768519237,ETHUSDT_4h,1
2,21,16.0,64.0,22.0,7.0,2.4,1.4,0.2,5,1.6,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,27,0.5185185185185185,1764.1584959897355,1.7651747682440417,0.09867038660925431,6.316274650427834,SOLUSDT_4h,1
2,33,28.0,64.0,20.0,6.8,2.0,1.2,0.2,5,1.8,3.5,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.6296296296296297,1757.923358136446,1.6444335459404535,0.10810479993005327,6.206920494671638,BTCUSDT_4h,1
3,24,12.0,64.0,14.0,7.4,2.2,1.4,0.0,4,1.6,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,1751.6069311692045,3.0891134658556663,0.03619743662652255,8.98499155300097,SOLUSDT_15m,1
3,18,20.0,62.0,14.0,7.8,2.0,1.0,0.0,4,2.0,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,20,0.65,1733.9606080058675,2.230614706754821,0.06242454463637181,7.382916387606394,ETHUSDT_1h,1
2,33,14.0,58.0,20.0,7.8,1.8,1.0,0.05,3,1.6,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,20,0.6,1716.042035933473,1.6929672714713024,0.06436505764399093,6.208881405944106,ETHUSDT_1h,1
5,18,26.0,62.0,20.0,7.8,2.2,0.8,0.05,4,1.4,4.5,8.4,1,risk_based,I,5.0,130.0,10000.0,13,0.8461538461538461,1708.6980865621226,6.345815610698309,0.014000000000000071,15.887560077189509,ETHUSDT_4h,1
5,33,16.0,64.0,16.0,7.6,2.6,1.4,0.15,5,2.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,13,0.6153846153846154,1699.4281985931848,3.3269167509327526,0.03628648692944351,9.427479162747282,SOLUSDT_15m,1
4,36,24.0,62.0,20.0,7.6,1.8,1.4,0.0,6,0.8,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,25,0.68,1696.4162608761271,1.879839129297076,0.0720627010089646,6.759906416443385,ETHUSDT_15m,1
5,27,14.0,66.0,14.0,8.0,2.8,1.2,0.2,4,0.8,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,23,0.6956521739130435,1671.8154225905855,2.5020229618408827,0.04497230033633477,8.044422706132913,ETHUSDT_15m,1
