structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset
2,20,20.0,56.0,22.0,6.8,2.4,0.8,0.1,3,1.0,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,22,0.7727272727272727,953.7531022279945,3.112912329563455,0.015727568156081468,8.731485965977567,ETHUSDT_4h
3,26,20.0,62.0,20.0,8.0,2.4,1.0,0.0,5,0.4,0.6,8.2,1,risk_based,C,1.0,100.0,10000.0,25,0.76,533.0539930707364,3.244287738995135,0.007984000000000005,8.637677471061007,ETHUSDT_15m
2,28,22.0,60.0,24.0,7.4,2.4,0.8,0.0,5,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,35,0.7428571428571429,1223.8674109759013,2.774894663428866,0.015939999999999902,8.540122452119347,ETHUSDT_15m
3,30,10.0,60.0,20.0,8.0,2.4,1.0,0.1,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,14,0.7142857142857143,822.8610589723103,3.199168027978213,0.03566666433166151,8.465625693362323,ETHUSDT_1h
3,20,18.0,56.0,16.0,7.6,2.4,1.0,0.1,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,23,0.6956521739130435,1022.5987106844168,3.0034670368792042,0.02818234504446417,8.448464010178997,ETHUSDT_15m
3,28,14.0,62.0,16.0,7.8,2.2,1.2,0.0,2,0.8,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,1004.4959746653494,2.904462820559393,0.01903011702111459,8.407442375831904,ETHUSDT_15m
3,28,14.0,62.0,16.0,7.8,2.2,1.2,0.0,2,0.8,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,16,0.625,919.6400687104287,3.1412265307175993,0.019472651177112776,8.40117517661429,SOLUSDT_15m
3,28,20.0,58.0,18.0,7.6,2.4,0.8,0.0,2,0.6,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,20,0.8,530.6299446155244,3.1578559532150643,0.023784862704000063,8.374987262933653,ETHUSDT_1h
3,30,10.0,62.0,20.0,7.8,2.4,1.2,0.0,5,0.6,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.75,745.4340363657102,3.0065161318984885,0.011964000000000113,8.327574300162686,ETHUSDT_15m
3,26,16.0,66.0,16.0,6.8,2.0,1.0,0.0,3,0.4,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.7777777777777778,487.58737963287604,3.078121215681757,0.011103119885310498,8.317187118007125,ETHUSDT_15m
2,28,22.0,60.0,24.0,7.4,2.4,0.8,0.0,5,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,24,0.7083333333333334,1137.80546268535,2.8719622074756406,0.03743616090159987,8.311921394931831,ETHUSDT_4h
3,16,14.0,60.0,16.0,6.8,2.2,1.2,0.0,5,0.4,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,16,0.6875,549.532345314763,3.2112822300130874,0.00997600000000012,8.293418805340938,SOLUSDT_15m
3,28,20.0,58.0,18.0,7.6,2.4,0.8,0.0,2,0.6,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,25,0.8,548.1233187156031,3.035350995747383,0.009335920957527102,8.290817547337788,ETHUSDT_15m
3,26,20.0,62.0,20.0,8.0,2.4,1.0,0.0,5,0.4,0.6,8.2,1,risk_based,C,1.0,100.0,10000.0,15,0.7333333333333333,371.5570799136967,3.2811487612436574,0.01590425574400014,8.286141835169012,ETHUSDT_1h
3,20,24.0,62.0,20.0,8.0,2.0,1.2,0.05,5,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,29,0.7241379310344828,801.7473414169181,2.919634903808545,0.012725464326378758,8.269047652606595,ETHUSDT_15m
4,22,22.0,60.0,20.0,8.0,1.8,1.0,0.05,5,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,754.2627958764606,2.943091916288474,0.013784045472711415,8.250205603146386,ETHUSDT_15m
4,30,18.0,60.0,20.0,7.0,1.8,1.2,0.0,4,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,20,0.75,737.0859071796967,3.01305127855729,0.015936000000000113,8.240380464294276,SOLUSDT_1h
3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,26,0.8076923076923077,808.7179712407924,2.8717117668651975,0.01792000000000008,8.229919966509648,ETHUSDT_15m
4,22,12.0,62.0,18.0,8.0,2.4,1.2,0.1,4,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,15,0.6666666666666666,861.1061968671875,3.043396153962645,0.01989999999999997,8.188198504792478,SOLUSDT_15m
2,18,10.0,56.0,18.0,7.0,1.8,1.2,0.0,3,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,24,0.625,1337.6197010904598,2.752478644059141,0.029119390936681287,8.172718816398698,SOLUSDT_15m
2,22,14.0,60.0,18.0,6.8,1.8,0.8,0.05,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.7916666666666666,908.2479071693415,2.7824315341251555,0.019899999999999977,8.080910975419652,ETHUSDT_4h
4,22,12.0,62.0,18.0,8.0,2.4,1.2,0.1,4,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,15,0.6666666666666666,974.1144796777662,2.9408911283145875,0.029482440567762475,8.067449414603654,SOLUSDT_1h
4,22,24.0,66.0,20.0,8.0,2.2,0.8,0.1,2,0.6,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.7037037037037037,1128.3124497116605,2.708568262844927,0.029814377115273044,8.051561399611252,ETHUSDT_15m
3,24,24.0,58.0,22.0,7.6,2.4,1.0,0.05,5,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,15,0.7333333333333333,820.8395063193202,2.9267107587698655,0.019795181124376476,8.014875480485921,ETHUSDT_4h
3,24,24.0,58.0,22.0,7.6,2.4,1.0,0.05,5,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,24,0.6666666666666666,1063.6823253664388,2.743044172569896,0.025696044109686345,7.9526825381771715,ETHUSDT_15m
3,16,14.0,60.0,16.0,6.8,2.2,1.2,0.0,5,0.4,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,519.5293437219807,2.8801187989840207,0.011103119885310283,7.897568693145202,ETHUSDT_15m
3,16,12.0,58.0,24.0,7.6,1.8,1.2,0.05,2,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,15,0.7333333333333333,494.1796179237408,3.012943301649522,0.011963999999999992,7.884174221222785,ETHUSDT_1h
3,30,16.0,64.0,22.0,8.0,2.0,1.2,0.0,4,0.8,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,744.8036591484652,2.7329095900328477,0.017892216000000082,7.80805730232527,ETHUSDT_15m
4,22,12.0,62.0,18.0,8.0,2.4,1.2,0.1,4,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,24,0.75,1014.3953698501864,2.620465566646121,0.02775943170100016,7.777048208039428,ETHUSDT_15m
3,20,10.0,64.0,20.0,7.4,1.8,0.8,0.05,4,0.6,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,30,0.8333333333333334,523.0730132943918,2.7049621367489873,0.011469981999999967,7.7485873407923656,ETHUSDT_15m
4,18,10.0,66.0,20.0,7.0,2.0,0.8,0.1,2,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,23,0.8260869565217391,599.0993342084694,2.747814854051343,0.019899999999999984,7.734159477093764,SOLUSDT_1h
4,28,16.0,64.0,18.0,7.8,2.2,1.0,0.1,4,1.0,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,23,0.6956521739130435,1121.5829210050706,2.604713143332115,0.03744755600194786,7.722144800533022,SOLUSDT_1h
2,28,24.0,62.0,18.0,7.0,1.8,0.8,0.05,3,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.76,917.9144653899912,2.5932562644187835,0.019900000000000015,7.684726994227558,ETHUSDT_4h
4,30,18.0,56.0,16.0,7.8,2.4,1.0,0.0,2,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,23,0.7391304347826086,782.2094450679742,2.707779946073351,0.028322709312611972,7.6814968614507535,ETHUSDT_15m
3,20,18.0,56.0,16.0,7.6,2.4,1.0,0.1,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,18,0.6666666666666666,951.041598633501,2.6882411883286483,0.025572220075260443,7.610807315065017,ETHUSDT_4h
3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,22,0.7272727272727273,795.7581929815569,2.6692303656076932,0.02577664000000006,7.587798095106034,BTCUSDT_15m
4,26,24.0,66.0,22.0,8.0,1.8,0.8,0.05,3,0.8,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,16,0.75,592.4042995845866,2.7674454554578807,0.015936000000000033,7.524487210500348,ETHUSDT_4h
2,24,24.0,60.0,16.0,6.8,2.4,1.2,0.1,2,0.4,0.8,8.6,1,risk_based,C,1.0,100.0,10000.0,25,0.64,627.285552859259,2.701796463515001,0.011880569101364733,7.455236772585167,ETHUSDT_4h
4,20,16.0,58.0,18.0,7.4,1.8,0.8,0.1,4,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,16,0.75,699.614398408241,2.6524238907128304,0.01972731654360313,7.390280230203093,ETHUSDT_4h
4,22,10.0,64.0,16.0,7.4,2.2,1.0,0.0,4,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,20,0.7,666.9882129654816,2.6427018937980593,0.015940000000000055,7.354572000561601,SOLUSDT_15m
4,18,14.0,58.0,18.0,7.6,1.8,0.8,0.0,5,1.0,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,16,0.75,691.224431234481,2.6333014600214244,0.01990000000000006,7.34312735127733,ETHUSDT_4h
4,22,18.0,56.0,22.0,6.8,2.0,1.0,0.05,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.68,1005.1902715060714,2.4593206282236744,0.035747421347156284,7.336589263911952,ETHUSDT_15m
3,22,12.0,62.0,24.0,6.8,1.8,1.2,0.1,2,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,28,0.75,812.3919792156812,2.414761524259935,0.016877840732456857,7.276281505538181,ETHUSDT_15m
4,16,18.0,64.0,22.0,7.4,2.0,0.8,0.1,3,0.4,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,26,0.7307692307692307,431.47487197585724,2.6307906527275593,0.012368778485139377,7.272103688129404,ETHUSDT_15m
4,20,18.0,62.0,24.0,8.0,1.8,1.0,0.05,3,1.0,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,28,0.7142857142857143,981.1219339073123,2.3693906781735765,0.03414236539897439,7.248904765486113,ETHUSDT_15m
3,30,14.0,58.0,20.0,7.0,1.8,1.2,0.1,2,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6923076923076923,670.0579611526646,2.535897693095058,0.01722333895349204,7.248644868943844,ETHUSDT_15m
4,24,20.0,58.0,16.0,7.2,2.4,0.8,0.05,5,0.8,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.75,653.4430982227223,2.5159613032811494,0.02489743642638279,7.215673395505872,ETHUSDT_15m
2,22,18.0,66.0,20.0,7.8,2.4,0.8,0.1,3,0.8,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,822.9245359968827,2.4162167150231806,0.03141293362994614,7.212230276264516,ETHUSDT_4h
2,20,24.0,66.0,20.0,7.6,2.2,1.0,0.05,5,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,36,0.7222222222222222,770.5106895081044,2.3317402304709884,0.01594000000000008,7.189504483783414,ETHUSDT_15m
4,24,18.0,66.0,22.0,7.2,2.4,1.2,0.05,3,0.6,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,16,0.625,611.6424208061289,2.6838628445874435,0.01782585019327418,7.183390559401194,SOLUSDT_1h
4,20,18.0,62.0,24.0,8.0,1.8,1.0,0.05,3,1.0,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,21,0.7142857142857143,870.6349948993502,2.456996055425641,0.031711165908141284,7.18092217945478,SOLUSDT_1h
4,22,10.0,64.0,16.0,7.4,2.2,1.0,0.0,4,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,23,0.6956521739130435,697.2135213363435,2.518616194688127,0.026665095654799506,7.157928884617765,SOLUSDT_1h
2,26,20.0,64.0,20.0,8.0,1.8,1.2,0.05,2,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,28,0.6071428571428571,1046.7416326078128,2.3572866344439514,0.025554519841682635,7.155365627684954,SOLUSDT_15m
3,30,24.0,62.0,20.0,7.0,1.8,1.0,0.05,2,0.4,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,28,0.7142857142857143,446.4475766986652,2.5344924979942935,0.009585783499298086,7.118103793617928,ETHUSDT_15m
4,18,14.0,60.0,22.0,7.8,2.4,1.0,0.1,5,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.6842105263157895,878.8979378957774,2.4721313284544015,0.048131242472485264,7.085082656860808,SOLUSDT_1h
2,24,24.0,60.0,16.0,6.8,2.4,1.2,0.1,2,0.4,0.8,8.6,1,risk_based,C,1.0,100.0,10000.0,32,0.625,672.8178775001361,2.4037252996814757,0.011968000000000019,7.021864476863087,ETHUSDT_15m
3,20,20.0,56.0,18.0,7.2,2.2,0.8,0.05,4,0.4,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,29,0.7586206896551724,667.4293841569179,2.341936245611375,0.017997848071914367,7.015239365646684,ETHUSDT_15m
