structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset
3,44,34.0,64.0,20.0,6.6,1.8,1.2,0.2,7,2.5,5.0,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.5185185185185185,3805.394828175078,2.0360334500192225,0.13886845587786067,8.778634138357717,BTCUSDT_1h
5,32,24.0,60.0,12.0,8.0,2.4,0.6,0.0,6,1.5,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,22,0.8636363636363636,1812.3637911253209,2.713080341935677,0.06733796745488305,8.77196511808657,ETHUSDT_15m
5,32,26.0,66.0,22.0,6.6,2.6,0.6,0.0,5,2.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,25,0.76,2458.5606646426604,2.370981815493142,0.057205359337867696,8.668908217615341,SOLUSDT_15m
5,32,26.0,66.0,22.0,6.6,2.6,0.6,0.0,5,2.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,20,0.7,1952.9743570272512,2.697715587431414,0.059705217502803436,8.61928987938167,BTCUSDT_15m
6,36,32.0,70.0,18.0,7.6,1.6,1.2,0.1,3,2.5,4.5,8.0,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,2704.005949869832,2.3545548069662434,0.06697525198721632,8.618505597314355,SOLUSDT_15m
4,24,30.0,66.0,14.0,7.8,1.8,1.0,0.15,3,1.0,6.5,8.8,1,risk_based,S,5.0,180.0,10000.0,28,0.7857142857142857,1171.7836334203948,2.8974425253921288,0.03420976880108698,8.602610806372821,ETHUSDT_15m
6,32,36.0,62.0,12.0,7.2,1.6,1.0,0.2,8,1.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,851.7648367970523,3.0575886038604136,0.012830577903999881,8.595723038078606,ETHUSDT_15m
6,32,24.0,68.0,18.0,7.8,1.6,0.8,0.15,5,3.0,3.0,8.8,1,risk_based,S,5.0,180.0,10000.0,22,0.8636363636363636,1554.8485384102441,2.720180198869164,0.04703588805054848,8.58955581745147,ETHUSDT_15m
4,40,22.0,62.0,14.0,7.0,1.6,0.6,0.05,5,3.0,3.5,8.2,1,risk_based,S,5.0,180.0,10000.0,22,0.7272727272727273,2722.48880245741,2.230209987675806,0.05910000000000009,8.53651786871811,ETHUSDT_4h
6,36,18.0,64.0,20.0,7.8,1.8,0.8,0.1,5,2.0,6.5,8.4,1,risk_based,S,5.0,180.0,10000.0,23,0.8260869565217391,1442.522033739595,2.7322739356819112,0.026064485854047498,8.528006882323886,ETHUSDT_15m
6,20,18.0,66.0,12.0,7.8,2.0,1.2,0.1,5,3.0,8.0,8.6,1,risk_based,S,5.0,180.0,10000.0,19,0.631578947368421,2551.7393824438623,2.389974824521442,0.05232041301319344,8.502096213499799,SOLUSDT_15m
6,32,26.0,70.0,20.0,7.4,2.0,0.8,0.0,4,2.5,4.5,8.8,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,1695.0640687770683,2.6294901059656164,0.04937500000000013,8.473192007981027,ETHUSDT_15m
5,24,34.0,66.0,18.0,8.0,1.8,1.0,0.05,3,3.0,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,23,0.7391304347826086,2498.737129300014,2.2649702822238065,0.06346822654031188,8.406968666300603,ETHUSDT_15m
6,20,20.0,62.0,12.0,7.6,1.6,0.8,0.2,3,1.0,3.5,8.6,1,risk_based,S,5.0,180.0,10000.0,23,0.8260869565217391,802.9054757237973,2.9713610919277262,0.019307375841087607,8.386835966838596,ETHUSDT_15m
5,44,34.0,68.0,16.0,7.2,2.6,0.6,0.0,7,1.5,5.0,7.6,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,1978.1608792930401,2.4811926893780702,0.0877123530906543,8.344681926049946,ETHUSDT_15m
4,44,14.0,68.0,14.0,7.2,1.8,1.2,0.0,6,1.5,6.5,8.6,1,risk_based,S,5.0,180.0,10000.0,26,0.7692307692307693,1535.0681067309342,2.613134264185235,0.03433900909077339,8.332165761675238,ETHUSDT_15m
6,20,18.0,66.0,12.0,7.8,2.0,1.2,0.1,5,3.0,8.0,8.6,1,risk_based,S,5.0,180.0,10000.0,21,0.8095238095238095,1981.6868741710914,2.4719649687302163,0.0807379907364636,8.31768855370785,ETHUSDT_15m
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,18,0.5,3023.174044928448,2.2401629316418963,0.11310169714248695,8.27419481678478,SOLUSDT_15m
6,32,16.0,68.0,12.0,7.8,2.6,1.0,0.2,4,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,13,0.6923076923076923,2068.6995086519073,2.587135910397382,0.09685401924659348,8.25087081016843,ETHUSDT_1h
4,44,34.0,66.0,20.0,6.8,2.2,1.2,0.2,5,3.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,28,0.6785714285714286,2551.145815362088,2.1639818885528985,0.0699951213182903,8.246981371370158,ETHUSDT_15m
5,32,24.0,62.0,18.0,7.6,2.0,1.2,0.1,8,2.5,5.0,8.8,1,risk_based,S,5.0,180.0,10000.0,15,0.6666666666666666,2046.4650035579507,2.5935943774666206,0.0958032211037175,8.24624409518004,SOLUSDT_1h
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,13,0.6923076923076923,2169.9421022728675,2.5290323976492055,0.10618879877329378,8.207902039712936,ETHUSDT_1h
5,28,24.0,68.0,12.0,7.0,1.8,0.8,0.15,7,1.5,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.75,2573.9500972742608,2.1214522998051293,0.04500000000000006,8.20685469688452,ETHUSDT_4h
5,24,14.0,62.0,20.0,6.8,1.6,1.2,0.0,8,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,15,0.7333333333333333,2323.5178907953086,2.3002599492083196,0.040000000000000036,8.204037789211947,SOLUSDT_4h
4,40,32.0,68.0,18.0,7.2,2.2,1.2,0.05,2,1.0,8.0,8.2,1,risk_based,S,5.0,180.0,10000.0,15,0.6666666666666666,1404.8019165841397,2.764886147733661,0.03278062771449641,8.136232328907973,SOLUSDT_15m
4,44,14.0,68.0,14.0,7.2,1.8,1.2,0.0,6,1.5,6.5,8.6,1,risk_based,S,5.0,180.0,10000.0,17,0.6470588235294118,1507.5456281538445,2.663494701846737,0.044328375,8.012138142141437,SOLUSDT_1h
6,32,14.0,64.0,16.0,7.8,2.2,0.8,0.15,3,2.0,6.0,8.2,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,1276.4741962709923,2.5972055280117368,0.04759472238220319,7.995373812420584,ETHUSDT_15m
6,40,20.0,68.0,18.0,7.0,2.6,0.6,0.1,6,3.0,5.5,7.6,1,risk_based,S,5.0,180.0,10000.0,13,0.8461538461538461,1619.424639800889,2.4564062291307738,0.05000000000000005,7.911467867293205,ETHUSDT_4h
3,20,36.0,64.0,14.0,7.2,1.8,0.6,0.2,2,3.0,6.0,7.6,1,risk_based,S,5.0,180.0,10000.0,34,0.8235294117647058,2103.595649125362,2.024032407394545,0.06048747449297267,7.885492158082592,SOLUSDT_15m
